Aborthyperspace;F258A016
Actionshot1;484536A1
Actionshot2;45061078
Activate;01E5156C
Activateclone;EA69C1BD
Activatequest;61B2EC70
Addallowedplayer;F1B97054
Addbannedplayer;5DE7ABE4
Addfriend;2A2357ED
Addignore;929AD345
Addmaplocation;124249A4
Addpower;8F2369DA
Adjustlotcount;0D617CF4
Aiignore;E6C2E97D
Aim;A0A107F8
Alert;23DAB842
Animalattack;A7E89355
Animalcalm;22E1565B
Animalscare;E001C174
Anon;D40D5142
Applydisease;AF5E4D90
Applypoison;E08596DB
Applypowerup;AB559978
Areatrack;AA4E8A8C
Assigndroid;6B5C8AE3
Assignplayerformation;A810CCBF
Assist;2555B593
Associatedroidcontroldevicewithship;A31DCD1D
Attack;A8FEF90A
Auction;74C7588E
Auctionaccept;81E9BDD7
Auctionbid;F34D4523
Auctioncancel;95778039
Auctioncreate;B71FFF08
Auctionquery;06DE6A3A
Auctionretrieve;7D09AE79
Auctionsay;188B3F25
Auctionuse;D5E6913F
Avoidincapacitation;000E0422
Bandflourish;F4C60EC3
Battlefieldstatus;DE290701
Berserk1;0E212D37
Berserk2;03620BEE
Bet;037CBBF5
Bleedingshot;E5B4D271
Blindattack;3187E875
Boardshuttle;5DCD41A2
Bodyshot1;E3F9C921
Bodyshot2;EEBAEFF8
Bodyshot3;EA7BF24F
Boosteroff;535E8BF5
Boosteron;B1673D93
Boostertoggle;63B19179
Boostmorale;D29DEA7E
Broadcast;99BD8693
Broadcastarea;2B12263F
Broadcastgalaxy;5AD7B5CE
Broadcastplanet;EB0B6D6B
Bstrike1;A48AD783
Bstrike2;A9C9F15A
Bstrike3;AD08ECED
Burstrun;FC3D1CB2
Burstshot1;3881333D
Burstshot2;35C215E4
Cancelcraftingsession;83250E2A
Centerofbeing;5997AC66
Changebandmusic;798E29AB
Changedance;13EE2D35
Changemusic;B5220E24
Channelforce;2D8F25D8
Chargeshot1;109F8ACF
Chargeshot2;1DDCAC16
Chatterspeech;96CEA7A7
Checkforcestatus;D2E938DB
Cityban;ABB91A5E
Cityinfo;5E78B295
Citypardon;B0CF1123
Claimveteranreward;BD9CE275
Clearcompletedquest;1A5326C5
Clearveteranreward;78F9FAE5
Clientqualifiedforskill;7A48C5F6
Clone;2B597541
Closecontainer;310A90F6
Closewings;9B331451
Colorlights;B008CBFA
Combat;83D46032
Combatescape;B40022F0
Combatmodecheck;23D7CED5
Combatspam;10135284
Combattarget;E8B7C50E
Comm;C47E6DCA
Completequest;B8CDE364
Componentdetail;7ABE10A9
Con;4B85C789
Conceal;1F0512D5
Concealshot;5A70C24B
Confusionshot;A1E4559D
Consent;3F8F3496
Consider;71AB9319
Conversationstart;F0C4930E
Conversationstop;D6137AAF
Corpse;77E07955
Counterattack;74A64749
Coupdegrace;7248FF7F
Craft;2DC6AE8B
Createcreature;3C55EC9F
Createmanfschematic;F4B66795
Createmissionelement;8B2FA3D8
Createnpc;EE641AEA
Createprototype;D61FF415
Createspawningelement;B60558BF
Createspawningelementwithdifficulty;501915C5
Createvendor;EDEFCEAA
Creatureareaattack;646D1585
Creatureareableeding;04FA9AD4
Creatureareacombo;23F7FECB
Creatureareadisease;A8DF722F
Creatureareaknockdown;46D54527
Creatureareapoison;B8DC88A2
Credits;7B6511CF
Cripplingshot;E68A8B94
Csappendcomment;056F2F16
Cscancelticket;4C9DB464
Csconnectplayer;783176AE
Cscreateticket;58084BCB
Csdisconnectplayer;8F53A7CD
Csgetarticle;723517B6
Csgetcomments;812943B1
Csgettickets;AC832BB7
Csrequestcategories;48EFA813
Cssearchknowledgebase;E8C0E45D
Cuiconsentresponse;782C4D16
Curedisease;E994DE9C
Curepoison;1754A3E5
Customizedroid;07B4E2B6
Customizevehicle;E04F2807
Database;536B6FC1
Dazzle;9C7713A5
Deactivate;7619BFA6
Deactivatequest;C07C5E53
Deathblow;E5F3B39B
Deathcount;121CC45A
Debugexamine;E4E05CD3
Declareovert;C8285701
Declareresidence;F59E3CE1
Decline;43E1F84F
Defaultattack;399EA293
Defuseminefield;740C059C
Delegatefactionpoints;0F13C662
Denyservice;180AB134
Deploytrap;A5D6DCAF
Destroy;74EF9BE3
Destroyobject;1C268AFB
Destroystructure;18FC1726
Destroytarget;6DD1C712
Detonatedroid;23F2C5AE
Diagnose;DC7CF134
Disabletarget;B19FED3D
Disarmingshot1;D4DA2068
Disarmingshot2;D99906B1
Disband;46D22D3A
Dismissgroupmember;2F50053B
Dismount;06F978ED
Dismountandstore;3025A550
Distract;2434AC3A
Diveshot;857FCDD0
Dizzyattack;8825B1B6
Dock;ADE422E7
Doubletap;EB830578
Dragincapacitatedplayer;273A06DA
Drainforce;5DFF0378
Droid;2DA5ECED
Drop;1027E2DE
Duel;468B3802
Dumppausedcommands;6601CD83
Dumptargetinformation;9FC96597
Dumpzoneinformation;C2793011
Eat;4353DDC9
Echo;93890429
